XXII,"22nd Century Group, Inc",$57.77M,United States,n/a,Farming/Seeds/Milling,AMEX
IBO,IBO (Listing Market - NYSE Amex Network B F),n/a,n/a,n/a,n/a,AMEX
IDI,"IDI, Inc.",$222.6M,United States,n/a,Advertising,AMEX
IEC,IEC Electronics Corp.,$44.99M,United States,n/a,Electrical Products,AMEX
IMUC,"ImmunoCellular Therapeutics, Ltd.",$27.14M,United States,n/a,Major Pharmaceuticals,AMEX
IMH,"Impac Mortgage Holdings, Inc.",$170.98M,United States,1997,Real Estate Investment Trusts,AMEX
IMO,Imperial Oil Limited,$28.15B,Canada,n/a,Integrated oil Companies,AMEX
IOT,"Income Opportunity Realty Investors, Inc.",$29.18M,United States,n/a,Real Estate Investment Trusts,AMEX
IRT,"Independence Realty Trust, Inc.",$315.67M,United States,2013,Real Estate Investment Trusts,AMEX
IGC,India Globalization Capital Inc.,$9.16M,United States,n/a,Electronic Components,AMEX
INFU,"InfuSystems Holdings, Inc.",$81.83M,United States,n/a,Medical/Dental Instruments,AMEX
IHT,InnSuites Hospitality Trust,$23.05M,United States,n/a,Real Estate Investment Trusts,AMEX
NSPR,"InspireMD, Inc.",$4.11M,Israel,n/a,Medical/Dental Instruments,AMEX
IFMI,"Institutional Financial Markets, Inc.",$11.62M,United States,n/a,Investment Bankers/Brokers/Service,AMEX
IDN,"Intellicheck Mobilisa, Inc.",$13.14M,United States,1999,Computer Software: Prepackaged Software,AMEX
INS,Intelligent Systems Corporation,$30.61M,United States,1992,Metal Fabrications,AMEX
THM,International Tower Hill Mines Ltd,$36.05M,Canada,n/a,Precious Metals,AMEX
INTT,inTest Corporation,$40.14M,United States,1997,Electrical Products,AMEX
INUV,"Inuvo, Inc",$42.66M,United States,n/a,Advertising,AMEX
VKI,Invesco Advantage Municipal Income Trust II,$545.44M,United States,n/a,n/a,AMEX
ISR,"IsoRay, Inc.",$50.06M,United States,n/a,Medical/Dental Instruments,AMEX
ISDR,Issuer Direct Corporation,$15.66M,United States,n/a,Publishing,AMEX
JRJR,"JRjr33, Inc.",$37.8M,United States,2014,Other Consumer Services,AMEX
KIQ,Kelso Technologies Inc,$37.78M,Canada,n/a,Railroads,AMEX
KLDX,Klondex Mines Ltd.,$372.74M,n/a,n/a,Precious Metals,AMEX
LTS,Ladenburg Thalmann Financial Services Inc,$427.68M,United States,n/a,Investment Bankers/Brokers/Service,AMEX
LTS^A,Ladenburg Thalmann Financial Services Inc,n/a,United States,n/a,n/a,AMEX
LSG,Lake Shore Gold Corp,$704.4M,Canada,n/a,Precious Metals,AMEX
LAQ,"Latin America Equity Fund, Inc. (The)",$133.58M,United States,1991,n/a,AMEX
LGL,"LGL Group, Inc. (The)",$8.67M,United States,n/a,Industrial Machinery/Components,AMEX
LBY,"Libbey, Inc.",$398.3M,United States,1993,Industrial Machinery/Components,AMEX
LIQT,"LiqTech International, Inc.",$28.56M,Denmark,n/a,Industrial Machinery/Components,AMEX
LEI,"Lucas Energy, Inc.",$4.7M,United States,n/a,Oil & Gas Production,AMEX
MCZ,Mad Catz Interactive Inc,$15.05M,United States,n/a,Recreational Products/Toys,AMEX
MVG,Mag Silver Corporation,$728.29M,Canada,n/a,Precious Metals,AMEX
MJCO,Majesco,$225.63M,n/a,2015,Computer Software: Prepackaged Software,AMEX
MSTX,"Mast Therapeutics, Inc.",$48.02M,United States,n/a,Major Pharmaceuticals,AMEX
MHH,"Mastech Holdings, Inc",$31.52M,United States,n/a,Professional Services,AMEX
MDGN,"Medgenics, Inc.",$140.24M,United States,2011,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
MDGN.WS,"Medgenics, Inc.",n/a,United States,n/a,n/a,AMEX
IPB,"Merrill Lynch & Co., Inc.",n/a,United States,n/a,Finance: Consumer Services,AMEX
MXC,Mexco Energy Corporation,$5.42M,United States,n/a,Oil & Gas Production,AMEX
CCA,MFS California Insured Municipal Trust,$34.27M,United States,1999,n/a,AMEX
MGT,MGT Capital Investments Inc,$4.13M,United Kingdom,n/a,Multi-Sector Companies,AMEX
MLSS,"Milestone Scientific, Inc.",$38.23M,United States,2015,Industrial Specialties,AMEX
MGH,Minco Gold Corporation,$13.16M,Canada,n/a,Precious Metals,AMEX
MGN,"Mines Management, Inc.",$14.44M,United States,n/a,Precious Metals,AMEX
MVF,"MuniVest Fund, Inc.",$680.13M,United States,n/a,n/a,AMEX
MZA,"MuniYield Arizona Fund, Inc.",$79M,United States,1993,n/a,AMEX
NNVC,"NanoViricides, Inc.",$166.53M,United States,n/a,Biotechnology: Commercial Physical & Biological Resarch,AMEX
NHC,National HealthCare Corporation,$919.09M,United States,n/a,Hospital/Nursing Management,AMEX
NAVB,"Navidea Biopharmaceuticals, Inc.",$146.64M,United States,n/a,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
NTIP,"Network-1 Technologies, Inc.",$47.13M,United States,n/a,Computer Software: Prepackaged Software,AMEX
NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,$91.61M,United States,2002,n/a,AMEX
NHS,Neuberger Berman High Yield Strategies Fund,$205.76M,United States,n/a,n/a,AMEX
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,$304.01M,United States,2002,n/a,AMEX
NML,Neuberger Berman MLP Income Fund Inc.,$383.95M,n/a,2013,n/a,AMEX
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,$75.28M,United States,2002,n/a,AMEX
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",$277.82M,United States,2003,n/a,AMEX
UWN,"Nevada Gold & Casinos, Inc.",$38.01M,United States,n/a,Services-Misc. Amusement & Recreation,AMEX
NSU,Nevsun Resources Ltd,$667.3M,Canada,n/a,Precious Metals,AMEX
GBR,"New Concept Energy, Inc",$1.66M,United States,n/a,Oil & Gas Production,AMEX
NEN,New England Realty Associates Limited Partnership,$201.66M,United States,n/a,Building operators,AMEX
NGD,NEW GOLD INC.,$1.78B,Canada,n/a,Precious Metals,AMEX
HLTH,Nobilis Health Corp.,$221.9M,n/a,2015,Hospital/Nursing Management,AMEX
NSAT,Norsat International Inc.,$30.62M,Canada,n/a,Industrial Machinery/Components,AMEX
NAK,"Northern Dynasty Minerals, Ltd.",$73.31M,Canada,n/a,Precious Metals,AMEX
NOG,"Northern Oil and Gas, Inc.",$251.91M,United States,n/a,Oil & Gas Production,AMEX
NBY,"NovaBay Pharmaceuticals, Inc.",$10.26M,United States,2007,n/a,AMEX
NCQ,NovaCopper Inc.,$41.68M,Canada,n/a,Precious Metals,AMEX
NG,Novagold Resources Inc.,$1.58B,Canada,n/a,Precious Metals,AMEX
NTN,"NTN Buzztime, Inc.",$15.71M,United States,n/a,Broadcasting,AMEX
NVX,Nuveen California Dividend Advantage Municipal Fund 2,$231.28M,United States,2001,n/a,AMEX
NZH,Nuveen California Dividend Advantage Municipal Fund 3,$364.21M,United States,n/a,n/a,AMEX
NCB,Nuveen California Municipal Value Fund 2,$59.02M,United States,n/a,n/a,AMEX
CFD,Nuveen Diversified Commodity Fund,$81.17M,United States,2010,n/a,AMEX
NXZ,Nuveen Dividend Advantage Municipal Fund 2,$433.85M,United States,2001,n/a,AMEX
NZF,Nuveen Dividend Advantage Municipal Fund 3,$539.24M,United States,2007,n/a,AMEX
NVG,Nuveen Dividend Advantage Municipal Income Fund,$399.7M,United States,2002,n/a,AMEX
CTF,Nuveen Long/Short Commodity Total Return Fund,$246.33M,United States,n/a,n/a,AMEX
NOM,Nuveen Missouri Premium Income Municipal Fund,$37.14M,United States,1993,n/a,AMEX
NMZ,Nuveen Municipal High Income Opportunity Fund,$701.19M,United States,2003,n/a,AMEX
NJV,Nuveen New Jersey Municipal Value Fund,$23.68M,United States,n/a,n/a,AMEX
NYV,Nuveen New York Municipal Value Fund 2,$36.65M,United States,2009,n/a,AMEX
NPN,Nuveen Pennsylvania Municipal Value Fund,$19.73M,United States,2009,n/a,AMEX
JRS,Nuveen Real Estate Fund,$303.66M,United States,2001,n/a,AMEX
OCX,OncoCyte Corporation,$133.56M,n/a,2015,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
OGEN,"Oragenics, Inc.",$37.57M,United States,n/a,Major Pharmaceuticals,AMEX
TIS,Orchids Paper Products Company,$286.68M,United States,2005,Paper,AMEX
ONVO,"Organovo Holdings, Inc.",$189.45M,United States,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
ONP,"Orient Paper, Inc.",$26.6M,China,n/a,Containers/Packaging,AMEX
OSG,"Overseas Shipholding Group, Inc.",$744.6M,United States,2015,Marine Transportation,AMEX
OSGB,"Overseas Shipholding Group, Inc.",$15.29M,United States,n/a,Marine Transportation,AMEX
ORM,"Owens Realty Mortgage, Inc.",$163.44M,United States,2013,Real Estate Investment Trusts,AMEX
PHF,"Pacholder High Yield Fund, Inc.",$84.22M,United States,n/a,n/a,AMEX
PBM,Pacific Booker Minerals Inc,$11M,Canada,n/a,Precious Metals,AMEX
PCG^A,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^B,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^C,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^D,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^E,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^G,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^H,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PCG^I,Pacific Gas & Electric Co.,n/a,United States,n/a,n/a,AMEX
PTN,"Palatin Technologies, Inc.",$36.74M,United States,n/a,Major Pharmaceuticals,AMEX
PARR,"Par Pacific Holdings, Inc.",$774.32M,United States,n/a,Oil & Gas Production,AMEX
PZG,Paramount Gold Nevada Corp.,$12.01M,United States,2015,Precious Metals,AMEX
PRK,Park National Corporation,$1.36B,United States,n/a,Major Banks,AMEX
PED,Pedevco Corp.,$8.48M,United States,n/a,Oil & Gas Production,AMEX
PFNX,Pfenex Inc.,$192.36M,United States,2014,Major Pharmaceuticals,AMEX
PIP,"PharmAthene, Inc",$123.32M,United States,n/a,Major Pharmaceuticals,AMEX
HNW,Pioneer Diversified High Income Trust,$127.33M,United States,2007,n/a,AMEX
PLG,Platinum Group Metals Ltd.,$279.33M,Canada,n/a,Precious Metals,AMEX
PLM,Polymet Mining Corp.,$225.05M,Canada,n/a,Precious Metals,AMEX
PW,Power REIT,$7.98M,United States,n/a,Real Estate Investment Trusts,AMEX
PW^A,Power REIT,n/a,United States,n/a,n/a,AMEX
PLX,"Protalix BioTherapeutics, Inc.",$87.83M,Israel,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
PVCT,"Provectus Biopharmaceuticals, Inc.",$76.74M,United States,n/a,Major Pharmaceuticals,AMEX
PVCT.WS,"Provectus Biopharmaceuticals, Inc.",n/a,United States,n/a,n/a,AMEX
RLGT,"Radiant Logistics, Inc.",$172.07M,United States,n/a,Oil Refining/Marketing,AMEX
RLGT^A,"Radiant Logistics, Inc.",n/a,United States,n/a,n/a,AMEX
UTG,Reaves Utility Income Fund,$926.48M,United States,2004,n/a,AMEX
REED,"Reeds, Inc.",$63.83M,United States,n/a,Beverages (Production/Distribution),AMEX
RWC,RELM Wireless Corporation,$66.18M,United States,n/a,Radio And Television Broadcasting And Communications Equipment,AMEX
RCG,"RENN Fund, Inc.",$4.29M,United States,n/a,n/a,AMEX
RVP,"Retractable Technologies, Inc.",$60.53M,United States,n/a,Medical/Dental Instruments,AMEX
RNN,"Rexahn Pharmaceuticals, Inc.",$68.24M,United States,n/a,Major Pharmaceuticals,AMEX
RIC,"Richmont Mines, Inc.",$303.79M,Canada,n/a,Precious Metals,AMEX
REI,"Ring Energy, Inc.",$151.98M,United States,n/a,Oil & Gas Production,AMEX
RIF,RMR Real Estate Income Fund.,$143.7M,n/a,n/a,n/a,AMEX
SGA,"Saga Communications, Inc.",$231.98M,United States,n/a,Broadcasting,AMEX
SSN,Samson Oil & Gas Limited,$13.76M,United States,n/a,Oil & Gas Production,AMEX
SPP,Sanchez Production Partners LP,$35.3M,United States,n/a,Oil & Gas Production,AMEX
SAND,Sandstorm Gold Ltd,$424.83M,Canada,n/a,Precious Metals,AMEX
SEB,Seaboard Corporation,$3.24B,United States,1996,Investment Bankers/Brokers/Service,AMEX
SENS,"Senseonics Holdings, Inc.",$208.34M,United States,n/a,Industrial Machinery/Components,AMEX
SVT,"Servotronics, Inc.",$17.8M,United States,n/a,Industrial Machinery/Components,AMEX
SIF,"SIFCO Industries, Inc.",$45.01M,United States,n/a,Aerospace,AMEX
SKY,Skyline Corporation,$69.65M,United States,n/a,Homebuilding,AMEX
SLI,"SL Industries, Inc.",$135.47M,United States,n/a,Industrial Machinery/Components,AMEX
XPL,Solitario Exploration & Royalty Corp,$19.15M,United States,n/a,Precious Metals,AMEX
SCE^B,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SCE^C,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SCE^D,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SCE^E,Southern California Edison Company,n/a,United States,n/a,n/a,AMEX
SGB,Southwest Georgia Financial Corporation,$38.22M,United States,n/a,Major Banks,AMEX
LOV,"Spark Networks, Inc.",$64.61M,United States,n/a,Business Services,AMEX
STRP,Straight Path Communications Inc.,$348.81M,United States,2013,Telecommunications Equipment,AMEX
SSY,"SunLink Health Systems, Inc.",$4.63M,United States,n/a,Hospital/Nursing Management,AMEX
SDPI,"Superior Drilling Products, Inc.",$26.15M,n/a,2014,Metal Fabrications,AMEX
STS,"Supreme Industries, Inc.",$149.32M,United States,n/a,Construction/Ag Equipment/Trucks,AMEX
SYRG,Synergy Resources Corporation,$818.2M,United States,n/a,Oil & Gas Production,AMEX
SYN,"Synthetic Biologics, Inc",$204.36M,United States,n/a,Major Pharmaceuticals,AMEX
TRX,Tanzanian Royalty Exploration Corporation,$24.1M,Canada,n/a,Precious Metals,AMEX
TGB,Taseko Mines Limited,$119.91M,Canada,n/a,Precious Metals,AMEX
TIK,Tel-Instrument Electronics Corp.,$13.97M,United States,n/a,Electrical Products,AMEX
TGC,"Tengasco, Inc.",$8.64M,United States,n/a,Oil & Gas Production,AMEX
GLU,The Gabelli Global Utility and Income Trust,$71.18M,United States,2004,n/a,AMEX
GLU^A,The Gabelli Global Utility and Income Trust,n/a,United States,n/a,n/a,AMEX
TXMD,"TherapeuticsMD, Inc.",$1.22B,United States,n/a,Major Pharmaceuticals,AMEX
TPI,"Tianyin Pharmaceutical Co., Inc.",$4.41M,China,n/a,Major Pharmaceuticals,AMEX
TGD,Timmons Gold Corp,$66.88M,Canada,2011,Precious Metals,AMEX
TOF,Tofutti Brands Inc.,$16.49M,United States,n/a,Specialty Foods,AMEX
TMP,Tompkins Financial Corporation,$947.29M,United States,n/a,Major Banks,AMEX
TAT,Transatlantic Petroleum Ltd,$30.83M,Turkey,n/a,Oil & Gas Production,AMEX
TRXC,"TransEnterix, Inc.",$464.67M,United States,n/a,Medical/Dental Instruments,AMEX
TPLM,Triangle Petroleum Corporation,$42.38M,United States,n/a,Oil & Gas Production,AMEX
TPHS,Trinity Place Holdings Inc.,$172.06M,n/a,n/a,Clothing/Shoe/Accessory Stores,AMEX
TRT,Trio-Tech International,$11.25M,United States,n/a,Industrial Machinery/Components,AMEX
HTM,U.S. Geothermal Inc.,$72.74M,United States,n/a,Electric Utilities: Central,AMEX
UFAB,"Unique Fabricating, Inc.",$115.23M,United States,2015,Auto Parts:O.E.M.,AMEX
UAMY,United States Antimony Corporation,$12.6M,United States,n/a,Metal Fabrications,AMEX
UUU,"Universal Security Instruments, Inc.",$9.36M,United States,n/a,Electronic Components,AMEX
UQM,UQM TECHNOLOGIES INC,$26.55M,United States,n/a,Industrial Machinery/Components,AMEX
URG,Ur Energy Inc,$72.09M,Canada,n/a,Precious Metals,AMEX
UEC,Uranium Energy Corp.,$75.46M,Canada,n/a,Precious Metals,AMEX
VSR,"Versar, Inc.",$24.58M,United States,1986,Military/Government/Technical,AMEX
VII,"Vicon Industries, Inc.",$9.15M,United States,n/a,Telecommunications Equipment,AMEX
VHC,VirnetX Holding Corp,$251.15M,United States,n/a,Multi-Sector Companies,AMEX
VGZ,Vista Gold Corporation,$36.49M,United States,n/a,Precious Metals,AMEX
VNRX,VolitionRX Limited,$71.68M,Singapore,2015,Biotechnology: In Vitro & In Vivo Diagnostic Substances,AMEX
VISI,"Volt Information Sciences, Inc.",$149.56M,United States,n/a,Professional Services,AMEX
EAD,Wells Fargo Income Opportunities Fund,$525.27M,United States,2003,n/a,AMEX
ERC,Wells Fargo Multi-Sector Income Fund,$500.88M,United States,2003,n/a,AMEX
ERH,Wells Fargo Utilities and High Income Fund,$117.35M,n/a,2004,n/a,AMEX
SBI,Western Asset Intermediate Muni Fund Inc,$146.82M,United States,1992,n/a,AMEX
WRN,Western Copper and Gold Corporation,$49.11M,Canada,2011,Precious Metals,AMEX
WYY,WidePoint Corporation,$54.96M,United States,n/a,EDP Services,AMEX
WTT,"Wireless Telecom Group,  Inc.",$29.24M,United States,n/a,Electrical Products,AMEX
XTNT,"Xtant Medical Holdings, Inc.",$29.72M,n/a,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
YUMA,"Yuma Energy, Inc.",$14.33M,United States,n/a,Oil & Gas Production,AMEX
YUMA^A,"Yuma Energy, Inc.",n/a,United States,n/a,n/a,AMEX
